2026-03-16 20:20:27.541 | INFO | init_success:workmanager-daily-recommendations
2026-03-16 20:20:27.542 | INFO | init_start:workmanager-deadline-reminders
2026-03-16 20:20:27.544 | INFO | init_success:workmanager-deadline-reminders
2026-03-16 20:20:27.545 | INFO | init_start:sync-scheduler
2026-03-16 20:20:27.559 | INFO | init_success:sync-scheduler
2026-03-16 20:20:27.561 | INFO | init_start:mock-api
2026-03-16 20:20:27.562 | INFO | init_success:mock-api
2026-03-16 20:20:27.563 | INFO | init_start:database
2026-03-16 20:20:27.565 | INFO | init_success:database
2026-03-16 20:20:27.566 | INFO | application_onCreate_complete
2026-03-16 20:20:27.605 | INFO | activity_created:SplashActivity
2026-03-16 20:20:27.659 | INFO | activity_started:SplashActivity
2026-03-16 20:20:27.662 | INFO | activity_resumed:SplashActivity
2026-03-16 20:20:29.690 | INFO | activity_created:MainActivity
2026-03-16 20:20:29.691 | INFO | main_activity_onCreate_start
2026-03-16 20:20:29.712 | ERROR | main_activity_onCreate_failure | android.view.InflateException: Binary XML file line #89 in com.example.myapplication:layout/activity_main: Binary XML file line #89 in com.example.myapplication:layout/activity_main: Error inflating class com.google.android.material.bottomnavigation.BottomNavigationView
2026-03-16 20:20:29.718 | ERROR | uncaught_exception_thread:main | java.lang.RuntimeException: Unable to start activity ComponentInfo{com.example.myapplication/com.example.myapplication.MainActivity}: android.view.InflateException: Binary XML file line #89 in com.example.myapplication:layout/activity_main: Binary XML file line #89 in com.example.myapplication:layout/activity_main: Error inflating class com.google.android.material.bottomnavigation.BottomNavigationView
